year,drug,intent,nature,sex,jurisdiction,age_group,n,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
2007,Other opioids,Undetermined,Underlying,All,AUS,15-64,25,14044151,0.17801004845362314,0.11519873078273783,0.2627779616231989,1.7801004845362314,1.1519873078273783,2.627779616231989
2008,Other opioids,Undetermined,Underlying,All,AUS,15-64,41,14343136,0.2858510161236706,0.20513162287023692,0.3877891798602091,2.8585101612367056,2.0513162287023694,3.877891798602091
2009,Other opioids,Undetermined,Underlying,All,AUS,15-64,40,14643047,0.273167189861509,0.19515464503237404,0.3719761555794902,2.7316718986150903,1.9515464503237403,3.719761555794902
2010,Other opioids,Undetermined,Underlying,All,AUS,15-64,34,14846377,0.22901210174037745,0.1585975349334682,0.32002151880255786,2.2901210174037745,1.585975349334682,3.2002151880255787
2011,Other opioids,Undetermined,Underlying,All,AUS,15-64,48,15018500,0.31960581948929656,0.23565208962801287,0.4237509432806703,3.1960581948929656,2.356520896280129,4.237509432806704
2012,Other opioids,Undetermined,Underlying,All,AUS,15-64,52,15224030,0.3415652754231304,0.2550972834703142,0.4479173484305475,3.415652754231304,2.550972834703142,4.479173484305475
2013,Other opioids,Undetermined,Underlying,All,AUS,15-64,34,15435760,0.22026774191876525,0.1525418116693275,0.3078021500888432,2.2026774191876526,1.5254181166932752,3.078021500888432
2014,Other opioids,Undetermined,Underlying,All,AUS,15-64,39,15618521,0.24970354107152654,0.17756347755370203,0.34135281773669934,2.4970354107152652,1.7756347755370203,3.4135281773669934
2015,Other opioids,Undetermined,Underlying,All,AUS,15-64,28,15791656,0.17730882688933952,0.11782042745962344,0.25626081551166463,1.773088268893395,1.1782042745962344,2.562608155116646
2016,Other opioids,Undetermined,Underlying,All,AUS,15-64,21,15964383,0.13154282254441027,0.08142723990230405,0.20107717358183166,1.3154282254441028,0.8142723990230405,2.0107717358183166
1997,Methadone,Intentional,Underlying,All,AUS,15-64,14,12277629,0.11402853107876121,0.06234048769559697,0.1913204594587315,1.140285310787612,0.6234048769559697,1.9132045945873148
1998,Methadone,Intentional,Underlying,All,AUS,15-64,9,12412559,0.07250720822354198,0.03315497584043104,0.13764127581507957,0.7250720822354197,0.3315497584043104,1.3764127581507957
1999,Methadone,Intentional,Underlying,All,AUS,15-64,11,12560586,0.08757553190591585,0.043717327153881415,0.15669659483478826,0.8757553190591585,0.43717327153881413,1.5669659483478826
2e3,Methadone,Intentional,Underlying,All,AUS,15-64,8,12721200,0.06288714901109958,0.027150201408012224,0.12391275273726834,0.6288714901109959,0.27150201408012226,1.2391275273726834
2001,Methadone,Intentional,Underlying,All,AUS,15-64,11,12895398,0.08530174873237724,0.04258226441762114,0.1526281744331981,0.8530174873237724,0.4258226441762114,1.526281744331981
2002,Methadone,Intentional,Underlying,All,AUS,15-64,11,13064935,0.08419483143237988,0.04202969608394246,0.15064759643500056,0.8419483143237988,0.42029696083942464,1.5064759643500056
2003,Methadone,Intentional,Underlying,All,AUS,15-64,6,13239741,0.04531810705360475,0.01663092277147408,0.09863847416821493,0.4531810705360475,0.16630922771474077,0.9863847416821493
2004,Methadone,Intentional,Underlying,All,AUS,15-64,7,13399641,0.05224020553983499,0.021003230858373585,0.10763479029493794,0.5224020553983498,0.21003230858373584,1.0763479029493794
2005,Methadone,Intentional,Underlying,All,AUS,15-64,4,13581574,0.029451667384060198,0.008024763200665065,0.07540796634338129,0.294516673840602,0.08024763200665065,0.7540796634338129
2006,Methadone,Intentional,Underlying,All,AUS,15-64,5,13784515,0.03627258557881797,0.01177760453014333,0.0846480414443483,0.3627258557881797,0.1177760453014333,0.846480414443483
2007,Methadone,Intentional,Underlying,All,AUS,15-64,15,14044151,0.10680602907217389,0.059778518915873775,0.1761603078480797,1.068060290721739,0.5977851891587378,1.761603078480797
2008,Methadone,Intentional,Underlying,All,AUS,15-64,6,14343136,0.041831856018098135,0.015351531916403706,0.09105037075729855,0.41831856018098135,0.15351531916403707,0.9105037075729855
2009,Methadone,Intentional,Underlying,All,AUS,15-64,6,14643047,0.04097507847922635,0.015037110110028262,0.0891855261150467,0.4097507847922635,0.15037110110028262,0.891855261150467
2010,Methadone,Intentional,Underlying,All,AUS,15-64,14,14846377,0.09429910071662602,0.0515542195651912,0.1582178346504232,0.9429910071662602,0.515542195651912,1.5821783465042318
2011,Methadone,Intentional,Underlying,All,AUS,15-64,7,15018500,0.04660918200885575,0.018739271787617133,0.0960327295710259,0.4660918200885575,0.18739271787617134,0.9603272957102591
2012,Methadone,Intentional,Underlying,All,AUS,15-64,15,15224030,0.0985284448335953,0.05514561822401083,0.16250769104008048,0.985284448335953,0.5514561822401083,1.6250769104008047
2013,Methadone,Intentional,Underlying,All,AUS,15-64,6,15435760,0.038870777985664455,0.014264870021645776,0.08460534827066217,0.38870777985664456,0.14264870021645776,0.8460534827066217
2014,Methadone,Intentional,Underlying,All,AUS,15-64,14,15618521,0.08963716858977876,0.04900549671800579,0.15039590633094171,0.8963716858977876,0.4900549671800579,1.503959063309417
2015,Methadone,Intentional,Underlying,All,AUS,15-64,11,15791656,0.06965703913509767,0.0347724929802462,0.12463550721529863,0.6965703913509768,0.347724929802462,1.2463550721529864
2016,Methadone,Intentional,Underlying,All,AUS,15-64,9,15964383,0.05637549537617583,0.02577851544672443,0.10701825788631783,0.5637549537617583,0.2577851544672443,1.0701825788631782
1997,Methadone,Undetermined,Underlying,All,AUS,15-64,14,12277629,0.11402853107876121,0.06234048769559697,0.1913204594587315,1.140285310787612,0.6234048769559697,1.9132045945873148
1998,Methadone,Undetermined,Underlying,All,AUS,15-64,9,12412559,0.07250720822354198,0.03315497584043104,0.13764127581507957,0.7250720822354197,0.3315497584043104,1.3764127581507957
1999,Methadone,Undetermined,Underlying,All,AUS,15-64,7,12560586,0.05572988394012827,0.022406259814815,0.11482486159980533,0.5572988394012827,0.22406259814815002,1.1482486159980534
2e3,Methadone,Undetermined,Underlying,All,AUS,15-64,4,12721200,0.03144357450554979,0.008567502691751522,0.08050803973541353,0.31443574505549793,0.08567502691751522,0.8050803973541353
2001,Methadone,Undetermined,Underlying,All,AUS,15-64,2,12895398,0.015509408860432224,0.0018782176340686638,0.05602535881141065,0.15509408860432225,0.01878217634068664,0.5602535881141065
2002,Methadone,Undetermined,Underlying,All,AUS,15-64,3,13064935,0.02296222675428542,0.004735356263764299,0.06710539768072127,0.2296222675428542,0.04735356263764299,0.6710539768072127
2003,Methadone,Undetermined,Underlying,All,AUS,15-64,1,13239741,0.0075530178422674584,1.9101254922720647e-4,0.04208272116147938,0.07553017842267458,0.0019101254922720646,0.4208272116147938
2004,Methadone,Undetermined,Underlying,All,AUS,15-64,1,13399641,0.007462886505690713,1.8873316677051004e-4,0.04158054150504526,0.07462886505690712,0.0018873316677051003,0.4158054150504526
2005,Methadone,Undetermined,Underlying,All,AUS,15-64,3,13581574,0.022088750538045147,0.004555224732267661,0.06455272848697612,0.2208875053804515,0.045552247322676605,0.6455272848697612
2006,Methadone,Undetermined,Underlying,All,AUS,15-64,8,13784515,0.058036136926108754,0.025055879162350296,0.11435432513377061,0.5803613692610875,0.250558791623503,1.1435432513377062
2007,Methadone,Undetermined,Underlying,All,AUS,15-64,17,14044151,0.12104683294846375,0.07051423112666283,0.19380770585771276,1.2104683294846375,0.7051423112666283,1.9380770585771276
2008,Methadone,Undetermined,Underlying,All,AUS,15-64,20,14343136,0.13943952006032712,0.08517344321482279,0.21535302948460527,1.3943952006032712,0.8517344321482279,2.153530294846053
2009,Methadone,Undetermined,Underlying,All,AUS,15-64,23,14643047,0.1570711341703677,0.09956969999711125,0.235683923489901,1.5707113417036769,0.9956969999711125,2.35683923489901
2010,Methadone,Undetermined,Underlying,All,AUS,15-64,19,14846377,0.12797735097256388,0.07705091378791527,0.19985249410304634,1.2797735097256389,0.7705091378791528,1.9985249410304635
2011,Methadone,Undetermined,Underlying,All,AUS,15-64,25,15018500,0.16646136431734193,0.1077250304704943,0.24572982471674332,1.6646136431734193,1.0772503047049429,2.457298247167433
2012,Methadone,Undetermined,Underlying,All,AUS,15-64,21,15224030,0.13793982276703343,0.0853870916198447,0.21085566775800116,1.3793982276703343,0.853870916198447,2.1085566775800118
2013,Methadone,Undetermined,Underlying,All,AUS,15-64,13,15435760,0.08422001896893966,0.044843607749202645,0.14401869457776453,0.8422001896893966,0.44843607749202646,1.4401869457776453
2014,Methadone,Undetermined,Underlying,All,AUS,15-64,12,15618521,0.07683185879123894,0.039700324196292235,0.13420963170871025,0.7683185879123894,0.39700324196292236,1.3420963170871025
2015,Methadone,Undetermined,Underlying,All,AUS,15-64,11,15791656,0.06965703913509767,0.0347724929802462,0.12463550721529863,0.6965703913509768,0.347724929802462,1.2463550721529864
2016,Methadone,Undetermined,Underlying,All,AUS,15-64,6,15964383,0.03758366358411722,0.013792522397221304,0.081803841126986,0.3758366358411722,0.13792522397221305,0.81803841126986
1997,All opioids,Accidental,Underlying,Male,AUS,Allages,552,9156177,6.0287170071089715,5.53621472317867,6.553282743723525,60.28717007108972,55.3621472317867,65.53282743723526
1998,All opioids,Accidental,Underlying,Male,AUS,Allages,771,9243143,8.341318532018816,7.762848175729845,8.951481551752074,83.41318532018816,77.62848175729845,89.51481551752074
1999,All opioids,Accidental,Underlying,Male,AUS,Allages,835,9340109,8.939938495364453,8.343769891885236,9.567456515659046,89.39938495364453,83.43769891885236,95.67456515659046
2e3,All opioids,Accidental,Underlying,Male,AUS,Allages,739,9443465,7.825517434543358,7.271405535534061,8.410657776987433,78.25517434543359,72.7140553553406,84.10657776987433
2001,All opioids,Accidental,Underlying,Male,AUS,Allages,308,9561826,3.221142070562673,2.871412794977845,3.6017197845979507,32.21142070562673,28.71412794977845,36.01719784597951
2002,All opioids,Accidental,Underlying,Male,AUS,Allages,288,9675483,2.9765955870110052,2.6427140586159323,3.340982451642156,29.76595587011005,26.427140586159325,33.40982451642156
2003,All opioids,Accidental,Underlying,Male,AUS,Allages,271,9787597,2.7688103627478737,2.448938642535522,3.118855806908381,27.68810362747874,24.48938642535522,31.18855806908381
2004,All opioids,Accidental,Underlying,Male,AUS,Allages,290,9895951,2.930491470703523,2.602882966995975,3.287923729948087,29.304914707035227,26.028829669959748,32.87923729948087
2005,All opioids,Accidental,Underlying,Male,AUS,Allages,309,10019633,3.083945290211727,2.749638491093715,3.4476901447570283,30.83945290211727,27.496384910937152,34.476901447570285
2006,All opioids,Accidental,Underlying,Male,AUS,Allages,243,10159424,2.3918678854234257,2.100562565215457,2.7122747505822016,23.91867885423426,21.00562565215457,27.122747505822016
2007,All opioids,Accidental,Underlying,Male,AUS,Allages,275,10353636,2.656071741366994,2.3513956008565695,2.989268018995287,26.560717413669938,23.513956008565696,29.89268018995287
2008,All opioids,Accidental,Underlying,Male,AUS,Allages,396,10572045,3.7457275295366226,3.38584282434837,4.13345182722783,37.45727529536622,33.8584282434837,41.3345182722783
2009,All opioids,Accidental,Underlying,Male,AUS,Allages,466,10800797,4.314496420958565,3.9316092333148878,4.724597943327987,43.14496420958565,39.31609233314888,47.24597943327987
2010,All opioids,Accidental,Underlying,Male,AUS,Allages,497,10967831,4.531433790327368,4.14175119658007,4.947903559252371,45.31433790327368,41.4175119658007,49.47903559252371
2011,All opioids,Accidental,Underlying,Male,AUS,Allages,491,11118234,4.41616897071963,4.0341376574419305,4.824627447831143,44.1616897071963,40.34137657441931,48.246274478311435
2012,All opioids,Accidental,Underlying,Male,AUS,Allages,422,11316375,3.7291093658525805,3.381758969520031,4.102454567149267,37.2910936585258,33.81758969520031,41.02454567149267
