nature,intent,drug,sex,state,age_group,n,year,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
Underlying,Accidental,Heroin,Male,AUS,Allages,71,2002,9675483,0.733813495408963,0.5731144202131963,0.9256061182937181,7.338134954089631,5.731144202131962,9.25606118293718
Underlying,Accidental,Heroin,Male,AUS,15-64,114,2003,6632518,1.7188042309120006,1.4178015364196956,2.064809333937677,17.188042309120007,14.178015364196956,20.64809333937677
Underlying,Accidental,Heroin,Male,AUS,Allages,114,2003,9787597,1.1647394145876664,0.9607663873708009,1.3992081073535878,11.647394145876664,9.60766387370801,13.992081073535878
Underlying,Accidental,Heroin,Male,AUS,15-64,101,2004,6712739,1.5046019218086686,1.2255228648808905,1.8282281740526984,15.046019218086686,12.255228648808904,18.282281740526983
Underlying,Accidental,Heroin,Male,AUS,Allages,101,2004,9895951,1.02061944324502,0.8313112231939794,1.2401454458356087,10.2061944324502,8.313112231939794,12.401454458356087
Underlying,Accidental,Heroin,Male,AUS,15-64,105,2005,6803166,1.5433990586147686,1.262347893687219,1.8683787198854656,15.433990586147686,12.62347893687219,18.683787198854656
Underlying,Accidental,Heroin,Male,AUS,Allages,105,2005,10019633,1.047942574343791,0.8571134562018892,1.26859841894891,10.47942574343791,8.57113456201889,12.6859841894891
Underlying,Accidental,Heroin,Male,AUS,15-64,56,2006,6905635,0.810931941812737,0.6125693760166153,1.053062886220756,8.10931941812737,6.125693760166153,10.53062886220756
Underlying,Accidental,Heroin,Male,AUS,Allages,56,2006,10159424,0.551212352196345,0.41637995647671555,0.7157952974781907,5.51212352196345,4.163799564767156,7.157952974781907
Underlying,Accidental,Heroin,Male,AUS,15-64,87,2007,7039297,1.2359188708758844,0.9899203507179742,1.5245012584734898,12.359188708758843,9.899203507179742,15.245012584734898
Underlying,Accidental,Heroin,Male,AUS,Allages,87,2007,10353636,0.8402845145415583,0.6730334497994698,1.0364877744657686,8.402845145415583,6.730334497994698,10.364877744657687
Underlying,Accidental,Heroin,Male,AUS,15-64,128,2008,7194310,1.7791838272190106,1.4843304443181948,2.1154553869660173,17.791838272190105,14.843304443181948,21.154553869660173
Underlying,Accidental,Heroin,Male,AUS,Allages,128,2008,10572045,1.210740211567393,1.010091553607919,1.439574069633972,12.107402115673931,10.100915536079189,14.39574069633972
Underlying,Accidental,Heroin,Male,AUS,15-64,152,2009,7349704,2.068110498055432,1.752404916677262,2.424264140065533,20.68110498055432,17.52404916677262,24.24264140065533
Underlying,Accidental,Heroin,Male,AUS,Allages,152,2009,10800797,1.4073035536173857,1.1924728726706502,1.6496582471919623,14.073035536173856,11.924728726706501,16.496582471919623
Underlying,Accidental,Heroin,Male,AUS,15-64,165,2010,7446631,2.2157671032712645,1.8905719488795838,2.580842004135368,22.157671032712646,18.90571948879584,25.80842004135368
Underlying,Accidental,Heroin,Male,AUS,Allages,165,2010,10967831,1.5043995480966108,1.283607641497861,1.7522678890745638,15.043995480966109,12.83607641497861,17.522678890745638
Underlying,Accidental,Heroin,Male,AUS,15-64,165,2011,7526357,2.192295688338993,1.870545295985445,2.553503384718073,21.92295688338993,18.705452959854448,25.53503384718073
Underlying,Accidental,Heroin,Male,AUS,Allages,166,2011,11118234,1.4930428699377976,1.2745522612114333,1.7382416148978912,14.930428699377975,12.745522612114332,17.382416148978912
Underlying,Accidental,Heroin,Male,AUS,15-64,114,2012,7623065,1.4954614712061356,1.233571301140852,1.796506401809463,14.954614712061357,12.33571301140852,17.96506401809463
Underlying,Accidental,Heroin,Male,AUS,Allages,115,2012,11316375,1.0162264859550871,0.8389991865623588,1.2198262591377182,10.162264859550872,8.389991865623589,12.198262591377183
Underlying,Accidental,Heroin,Male,AUS,15-64,156,2013,7720602,2.020567826187647,1.7159351447265248,2.3636924965889987,20.20567826187647,17.159351447265248,23.63692496588999
Underlying,Accidental,Heroin,Male,AUS,Allages,156,2013,11512700,1.35502531986415,1.1507337384146112,1.5851302489033867,13.5502531986415,11.507337384146112,15.851302489033866
Underlying,Accidental,Heroin,Male,AUS,15-64,170,2014,7797841,2.180090617390121,1.8646843040963188,2.5335663294298194,21.80090617390121,18.646843040963187,25.335663294298193
Underlying,Accidental,Heroin,Male,AUS,Allages,170,2014,11679392,1.4555552206827205,1.2449716319598436,1.691556152909959,14.555552206827205,12.449716319598437,16.91556152909959
Underlying,Accidental,Heroin,Male,AUS,15-64,218,2015,7870954,2.769676966731098,2.414192137733398,3.162768393781895,27.696769667310978,24.14192137733398,31.62768393781895
Underlying,Accidental,Heroin,Male,AUS,Allages,219,2015,11840827,1.8495329760328396,1.6126714032798544,2.1113915386081192,18.495329760328396,16.126714032798542,21.113915386081192
Underlying,Accidental,Heroin,Male,AUS,15-64,265,2016,7947437,3.3344083130196567,2.9449940791911615,3.7609912004872608,33.344083130196566,29.449940791911615,37.609912004872605
Underlying,Accidental,Heroin,Male,AUS,Allages,267,2016,12011846,2.2228057202864573,1.9641555356523634,2.5060460772945037,22.228057202864573,19.641555356523636,25.060460772945035
Underlying,Accidental,Heroin,Female,AUS,15-64,36,1997,6101794,0.5899904192111369,0.4132215611464072,0.8167954627846321,5.89990419211137,4.132215611464072,8.16795462784632
Underlying,Accidental,Heroin,Female,AUS,Allages,36,1997,9266860,0.38848110363165084,0.27208707614809985,0.5378216196259026,3.8848110363165085,2.7208707614809984,5.378216196259026
Underlying,Accidental,Heroin,Female,AUS,15-64,42,1998,6174843,0.6801792369457815,0.49021335300602026,0.9194047368623135,6.801792369457815,4.902133530060203,9.194047368623135
Underlying,Accidental,Heroin,Female,AUS,Allages,42,1998,9364441,0.4485051483585619,0.3232430522351257,0.6062486702175921,4.485051483585619,3.2324305223512573,6.062486702175921
Underlying,Accidental,Heroin,Female,AUS,15-64,75,1999,6254708,1.199096744404375,0.9431653813303399,1.5030781550668837,11.99096744404375,9.431653813303399,15.030781550668838
Underlying,Accidental,Heroin,Female,AUS,Allages,75,1999,9472155,0.7917944754915855,0.6227964022896508,0.992521233143047,7.9179447549158555,6.227964022896508,9.925212331430469
Underlying,Accidental,Heroin,Female,AUS,15-64,67,2e3,6340314,1.0567299979149298,0.8189513764988133,1.3420097395033266,10.567299979149299,8.189513764988133,13.420097395033267
Underlying,Accidental,Heroin,Female,AUS,Allages,68,2e3,9585337,0.7094168937409295,0.5508897710721663,0.8993549534933497,7.094168937409295,5.508897710721663,8.993549534933496
Underlying,Accidental,Heroin,Female,AUS,15-64,22,2001,6433512,0.3419594150131374,0.21430370457665862,0.517730671186066,3.419594150131374,2.143037045766586,5.17730671186066
Underlying,Accidental,Heroin,Female,AUS,Allages,22,2001,9712875,0.2265034812040719,0.141948234177665,0.342928997422865,2.265034812040719,1.41948234177665,3.4292899742286496
Underlying,Accidental,Heroin,Female,AUS,15-64,19,2002,6517098,0.291540805432111,0.1755270389197597,0.45527709907754993,2.9154080543211105,1.7552703891975971,4.5527709907755
Underlying,Accidental,Heroin,Female,AUS,Allages,19,2002,9819727,0.19348806743812735,0.11649274101916358,0.30215559677413667,1.9348806743812736,1.1649274101916358,3.021555967741367
Underlying,Accidental,Heroin,Female,AUS,15-64,28,2003,6607223,0.4237786434633733,0.28159783016485557,0.612478592721885,4.237786434633733,2.815978301648556,6.12478592721885
Underlying,Accidental,Heroin,Female,AUS,Allages,28,2003,9933140,0.2818846809770123,0.18731032284004123,0.40740215529426455,2.818846809770123,1.8731032284004123,4.074021552942646
Underlying,Accidental,Heroin,Female,AUS,15-64,25,2004,6686902,0.37386520693738295,0.2419458771971114,0.5518988273655588,3.7386520693738294,2.419458771971114,5.518988273655588
Underlying,Accidental,Heroin,Female,AUS,Allages,25,2004,10036771,0.24908409288206337,0.16119411014968046,0.36769727759140963,2.4908409288206337,1.6119411014968046,3.676972775914096
Underlying,Accidental,Heroin,Female,AUS,15-64,17,2005,6778408,0.2507963521818103,0.1460980970150739,0.40154925552272785,2.5079635218181027,1.460980970150739,4.015492555227278
Underlying,Accidental,Heroin,Female,AUS,Allages,17,2005,10157211,0.167368778693285,0.09749846779709045,0.26797362839359173,1.6736877869328501,0.9749846779709046,2.6797362839359176
Underlying,Accidental,Heroin,Female,AUS,15-64,11,2006,6878880,0.15990975275044775,0.07982625767660764,0.2861223128371935,1.5990975275044774,0.7982625767660765,2.861223128371935
Underlying,Accidental,Heroin,Female,AUS,Allages,11,2006,10291542,0.10688388581613911,0.053355974003357586,0.19124452441913117,1.0688388581613912,0.5335597400335759,1.9124452441913118
Underlying,Accidental,Heroin,Female,AUS,15-64,17,2007,7004854,0.2426888554707921,0.14137518206542962,0.38856836788165783,2.4268885547079213,1.4137518206542963,3.8856836788165783
Underlying,Accidental,Heroin,Female,AUS,Allages,17,2007,10473986,0.16230688106705507,0.09454972630207381,0.25986903992704424,1.6230688106705506,0.9454972630207381,2.5986903992704424
Underlying,Accidental,Heroin,Female,AUS,15-64,27,2008,7148826,0.3776843918148239,0.2488963918078293,0.5495112497659562,3.7768439181482387,2.488963918078293,5.495112497659562
Underlying,Accidental,Heroin,Female,AUS,Allages,27,2008,10677154,0.25287637510894756,0.16664712310621324,0.3679220426734841,2.5287637510894756,1.6664712310621324,3.679220426734841
Underlying,Accidental,Heroin,Female,AUS,15-64,23,2009,7293343,0.3153560719686432,0.19990884794991814,0.4731891491743943,3.153560719686432,1.9990884794991814,4.731891491743943
